圖片,品牌,產品名稱,子分類,口味,規格,價格,產品描述
"[""food_snake1_24_pic1.jpg"";""food_snake1_24_pic2.jpg"";""food_snake1_24_pic3.jpg"";""food_snake1_24_pic4.jpg"";""food_snake1_24_pic5.jpg""]",寵鮮灶腳,手作零食 - 肉乾系列 (多種口味),"[""肉乾肉條""]","[""低脂雞胸肉"";""脆嚼雞胗"";""鈣質雞軟骨"";""厚切牛板腱"";""黃金雞菲力"";""櫻桃鴨菲力"";""櫻桃鴨脆管"";""潔牙鯊魚軟骨"";""鮮味虱目魚柳"";""台灣牛肺片"";""台灣鵪鶉肉"";""台灣水鹿肉""]","[""80g"",""400g""]",[250;1080;250;0;250;0;250;0;250;1080;250;0;250;0;250;1080;250;0;250;0;250;0;250;0],國家考試檢定合格，人食用等級採低溫烘烤熟成，保有天然食物原萃產地新鮮採購，食材當天現做雞軟骨最天然的潔牙骨！不像雞其他部位的骨頭堅硬，利用三角軟骨的角度，可以深入齒縫將齒垢漸漸帶出丁香魚又稱日本銀帶鯡，台灣四面環海都可捕捉的到，易捕撈、營養價值高，一直是嘗試鮮味的首選雞沒有牙齒！所以賦予強大的肌肉力磨碎食物，在組織纖維上更有嚼勁鯊魚肉中含有大量的蛋白質、脂肪、膠原蛋白以及多種維生素、脂肪酸，鈣、磷、鐵、及煙酸板腱又稱為「嫩肩里肌」，附著於肩胛骨上方的肉，筋多、肉質結實，肌肉纖維多，是做成寵物肉乾的上選部位在無添加訴求下透過鯊魚本身濃郁的鮮味，吸引挑食犬的食慾，在飲食上沒有多餘的負擔鮪魚生長在深海100M至400M的海洋深處，較少接觸到沿岸與近海的污染，味道鮮美一直老饕們的最愛虱目魚味鮮肉美，營養價值成分高，魚肉中含豐富的蛋白質、氨基酸、游離氨、基酸、牛磺酸雞菲力是雞最為珍貴的地方，一隻雞只有兩條菲力，在口感與層次上更勝雞胸肉一籌低脂雞胸肉向來是補充營養的逸品，含脂肪量低、脂肪多為不飽和脂肪酸，減重犬貓的首選
"[""food_snake1_25_pic1.jpg"";""food_snake1_25_pic2.jpg"";""food_snake1_25_pic3.jpg""]",牠說好吃,冷凍乾燥零食 (多種口味),"[""凍乾拌料""]","[""溫體雞胸"";""紐澳牛肉條"";""紐西蘭綠貽貝"";""無毒白蝦仁"";""大魚小魚(爆蛋魚+丁香魚)"";""帆立貝"";""祕魯魷魚丁"";""船凍白帶魚片"";""溫體雞肝"";""鮮凍甜干貝"";""無刺虱目魚柳""]","[""40g""]",[200;230;320;280;300;390;280;180;180;390;280],● 留存食材本身營養● 輕巧、方便攜帶儲存● 低碳水、低脂肪● 使用原肉純天然零添加● 鬆軟質地適合各年齡犬貓
"[""food_snake1_26_pic1.jpg"";""food_snake1_26_pic2.jpg"";""food_snake1_26_pic3.jpg""]",牠說好吃,即期品專區 - 冷凍乾燥零食 紐西蘭綠貽貝,"[""凍乾拌料"";""即期品專區""]","[""紐西蘭綠貽貝40g""]","[""""]",[220],● 留存食材本身營養● 輕巧、方便攜帶儲存● 低碳水、低脂肪● 使用原肉純天然零添加● 鬆軟質地適合各年齡犬貓
"[""food_snake1_27_pic1.jpg"";""food_snake1_27_pic2.jpg""]",派庫廚房,鮮肉凍乾零食 (多種口味),"[""凍乾拌料""]","[""北歐交響鮭"";""虎克鬼頭刀"";""急凍骰子牛"";""香檳鳥下水"";""筋肉胸雞丁"";""酥酥丁香魚"";""櫻桃鴉片管"";""急凍骰子鹿"";""酥卵地瓜球"";""極鮮蝦大廚"";""海灣鮮干貝""]","[""50g""]",[300;300;250;250;250;300;250;250;250;300;250],●均衡飲食增加額外營養成分●100%純肉適口性佳●原肉製造更香更誘惑●加水還原鮮肉增加水分攝取●低溫冷凍乾燥技術台灣製造
"[""food_snake1_28_pic1.jpg"";""food_snake1_28_pic2.jpg""]",ZEA真致,紐西蘭犬貓專用鮮乳,"[""牛奶飲品""]","[""紐西蘭犬貓專用鮮乳"";""貓用保健鮮乳"";""犬用保健鮮乳""]","[""380ml"",""1000ml""]",[95;155;95;0;95;0],●犬貓都愛喝鮮乳，但犬貓不易消化乳糖，ZEAL使用不含乳糖的牛奶製作，讓寵物喝得無負擔●本品含有牛磺酸、鈣、鎂、磷、鉀、維生素A、B1、B2、B3、B5、B6、B9、B12、D、E適用對象：犬貓、小動物
"[""food_snake1_29_pic1.jpg"";""food_snake1_29_pic2.jpg""]",朝貢 조공,조공 玉筋魚 海鮮凍乾,"[""凍乾拌料""]","[""玉筋魚""]","[""15g""]",[99],●犬貓皆能吃，採用冷凍乾燥技術●好吃又天然，好剝斷，味道又很好！適用對象：全年齡犬貓
"[""food_snake1_30_pic2.jpg""]",朝貢 조공,迷你型海鮮凍乾 (兩種口味),"[""凍乾拌料""]","[""鱈魚"";""比目魚""]","[""17g"",""50g"",""150g(大包裝)""]",[169;325;850;169;325;850],● 犬貓皆可食用！● 酥脆的凍乾可以很容易的用手製成粉末狀加入飼料裡增加風味●100%鱈魚(阿拉斯加)使用最新凍乾製程，將新鮮度鎖起來● 凍乾嗜口性佳● 每塊凍乾熱量極低為訓練獎勵無需擔心攝取卡路里過高● 凍乾體積小適合與毛小孩玩嗅聞遊戲增加互動● 瓶身包裝輕巧方便出門攜帶
"[""food_snake1_31_pic1.jpg"";""food_snake1_31_pic2.jpg""]",自然食,貓狗手作零食 (多種口味),"[""肉乾肉條""]","[""雞肉啵吉"";""雞肉南瓜啵吉"";""牛肉亞麻籽啵卡"";""虱目魚啵吉"";""鱸魚啵卡""]","[""70g""]",[198;198;198;198;220],狗貓寵物零食推薦，牛絞肉混入適量亞麻籽，製作成條狀，狗狗貓咪更好入口！低溫烘烤後混合著亞麻籽的植物清香，還可以幫毛孩補充膳食纖維，幫助犬貓腸道保健！GanedenBC30專利芽孢乳酸菌+LJ88約氏乳桿菌+日本專利LTK竹內乳酸菌，共三大專利菌及16支複合乳酸菌
"[""food_snake1_32_pic2.jpg""]",飼糧倉,毛孩手做零食 (多種口味),"[""肉乾肉條""]","[""原味雞肉條"";""起司雞肉條"";""台農地瓜雞肉條"";""爆毛鱉蛋雞肉條"";""原味羊肉條"";""美式藍莓羊肉條"";""原味牛肉條"";""紫芋地瓜牛肉條"";""起司牛肉條""]","[""120g""]",[250;240;240;250;250;250;250;250;250],起司牛肉條● 牛肉香氣適口性● 牛肉天然補鐵、優質蛋白質、好健勇● 起司香氣搭配鮮嫩雞肉，絕佳新體驗● 口感-香Q肉條、不加鹽、不加糖、不添加油/紫芋地瓜牛肉條● 紫芋地瓜-微清甜~營養價值高● 牛肉含鐵量多！頭好壯壯！● 不添加人工香料，不添加防腐劑● 口感-香/Q肉條、不加鹽、不加糖、不加油/原味牛肉條● 超絕新鮮味道！● 牛肉香氣適口性！● 牛肉天然補鐵、優質蛋白質、好健勇● 不添加人工香料，不添加防腐劑● 口感-香Q肉條、不加鹽、不加糖、不添加油/美式藍莓羊肉條● 羊肉低過敏，適合敏感毛孩● 天然手作，原肉原味，無香精、無香料、無防腐劑● 羊肉富含蛋白質、脂肪、維生素及鈣、鐵、磷等多種營養物質● 藍莓亦富含維生素E、A、B、SOD（超氧化歧化酵素）、熊果苷、蛋白質、纖維、果膠以及豐富的鉀、鐵、鋅、鈣等礦物質元素/原味羊肉條● 羊肉低敏，適合敏感毛孩● 天然手作，原肉原味，無香精、無香料、無防腐劑● 羊肉富含蛋白質、脂肪、維生素及鈣、鐵、磷等多種營養物質/鱉蛋雞肉條● 超絕新鮮味道！● 嚴選認證本土低脂雞胸肉品，低脂肪高蛋白● 新鮮鱉蛋具有豐富蛋白質及卵磷脂● 口感-香Q、不加鹽、不加糖、不加油/台農地瓜雞肉條● 嚴選本土雞肉製作，低脂高蛋白● 原味雞肉香濃、好吃不負擔● 口感-香Q肉條、不加鹽、不加糖、不加油● 台農地瓜-富含膳食纖維、能增加飽足感/起司雞肉條● 嚴選認證本土低脂雞胸肉品，低脂肪高蛋白● 起司香氣搭配鮮嫩雞肉，絕佳新體驗● 口感-香Q肉條、不加鹽、不加糖、不添加油/原味雞肉條● 嚴選大成低脂雞肉製作，口感吃得出新鮮● 原味雞肉香濃、好吃不負擔● 口感-香Q肉條、不加鹽、不加糖、不加油
"[""food_snake1_33_pic1.jpg"";""food_snake1_33_pic2.jpg""]",汪喵星球,原肉零食 (多種口味),"[""凍乾拌料""]","[""雞胸肉"";""雞肉鬆"";""咬咬雞胗"";""骰子牛"";""牛肉鬆"";""骰子羊"";""菇菇鰹魚鬆"";""爆蛋柳葉魚"";""澎湖丁香魚"";""長盈虱目魚"";""府城火燒蝦"";""北歐鯡魚"";""鮮脆小卷"";""北海道大干貝"";""咬咬火雞筋"";""滋補牛心丁""]","[""50g""]",[180;180;180;210;210;240;240;260;260;320;320;180;180;350;180;180],汪喵凍乾小零嘴可常溫保存，因採用目前最好的「冷凍乾燥技術製作」除食材本身營養無其他添加物，給毛孩自然無負擔的寵愛。以上圖文資訊來源：汪喵星球官方網站https://www.dogcatstar.com/
"[""food_snake1_34_pic1.jpg"";""food_snake1_34_pic2.jpg""]",KiWi Pet,天然原肉凍乾零食 (多種口味),"[""凍乾拌料""]","[""鹿肉餅"";""羊肉餅"";""袋鼠肉餅"";""沙丁牛肉球"";""深海鮭魚塊""]","[""50g""]",[270],●100%紐澳純天然食材●冷凍乾燥技術保存滿滿營養●無添加防腐劑及調味料●香濃鮮肉風味毛孩最愛
"[""food_snake1_35_pic2.jpg""]",飼糧倉,即期品專區 - 毛孩手做零食 (多種口味),"[""肉乾肉條"";""即期品專區""]","[""美式藍莓羊肉條120g"";""原味牛肉條120g"";""起司牛肉條120g""]","[""""]",[120],起司牛肉條● 牛肉香氣適口性● 牛肉天然補鐵、優質蛋白質、好健勇● 起司香氣搭配鮮嫩雞肉，絕佳新體驗● 口感-香Q肉條、不加鹽、不加糖、不添加油/紫芋地瓜牛肉條● 紫芋地瓜-微清甜~營養價值高● 牛肉含鐵量多！頭好壯壯！● 不添加人工香料，不添加防腐劑● 口感-香/Q肉條、不加鹽、不加糖、不加油/原味牛肉條● 超絕新鮮味道！● 牛肉香氣適口性！● 牛肉天然補鐵、優質蛋白質、好健勇● 不添加人工香料，不添加防腐劑● 口感-香Q肉條、不加鹽、不加糖、不添加油/美式藍莓羊肉條● 羊肉低過敏，適合敏感毛孩● 天然手作，原肉原味，無香精、無香料、無防腐劑● 羊肉富含蛋白質、脂肪、維生素及鈣、鐵、磷等多種營養物質● 藍莓亦富含維生素E、A、B、SOD（超氧化歧化酵素）、熊果苷、蛋白質、纖維、果膠以及豐富的鉀、鐵、鋅、鈣等礦物質元素/原味羊肉條● 羊肉低敏，適合敏感毛孩● 天然手作，原肉原味，無香精、無香料、無防腐劑● 羊肉富含蛋白質、脂肪、維生素及鈣、鐵、磷等多種營養物質/鱉蛋雞肉條● 超絕新鮮味道！● 嚴選認證本土低脂雞胸肉品，低脂肪高蛋白● 新鮮鱉蛋具有豐富蛋白質及卵磷脂● 口感-香Q、不加鹽、不加糖、不加油/台農地瓜雞肉條● 嚴選本土雞肉製作，低脂高蛋白● 原味雞肉香濃、好吃不負擔● 口感-香Q肉條、不加鹽、不加糖、不加油● 台農地瓜-富含膳食纖維、能增加飽足感/起司雞肉條● 嚴選認證本土低脂雞胸肉品，低脂肪高蛋白● 起司香氣搭配鮮嫩雞肉，絕佳新體驗● 口感-香Q肉條、不加鹽、不加糖、不添加油/原味雞肉條● 嚴選大成低脂雞肉製作，口感吃得出新鮮● 原味雞肉香濃、好吃不負擔● 口感-香Q肉條、不加鹽、不加糖、不加油
"[""food_snake1_36_pic1.jpg"";""food_snake1_36_pic2.jpg"";""food_snake1_36_pic3.jpg"";""food_snake1_36_pic4.jpg""]",派庫廚房,烘焙肉乾零食 (多種口味),"[""肉乾肉條""]","[""吮指蜜汁雞(犬用)"";""吮指麻花牛(犬用)"";""花椰菜雞塊(犬用)"";""蔓越莓牛酥(犬用)"";""牛肉吉士餅(犬用)"";""健骨鮪魚丁(貓用)"";""貓草鮭魚丁(貓用)"";""勁刨香鱈片(貓用)""]","[""90g""]",[199;199;199;199;199;109;109;109],● 低溫手工烘培
"[""food_snake1_37_pic1.jpg"";""food_snake1_37_pic2.jpg""]",陪心寵糧,C'est bon 輕奢肉泥泥 (多種口味),"[""肉泥""]","[""主廚干貝蝦"";""黑莓嫩鴨胸"";""海陸玉子蒸"";""厚乳佐嫩雞"";""松露舒肥牛"";""明太子鮭魚"";""田園烤火雞""]","[""12g/4入""]",[79],●高肉含量，吃得到微肉口感●機能添加精準守護毛孩健康●減磷減納美味也可以無負擔
"[""food_snake1_38_pic2.jpg""]",寵心出發,100%天然營養蔬果肉泥 (多種口味),"[""肉泥""]","[""泥好！大力水手"";""泥好！鳳菲菲"";""泥好！布藍泥"";""泥好！陸小蔓"";""泥好！南助褐"";""泥好！鮭山島""]","[""18g/4入""]",[99],● 100%天然營養蔬果肉泥● 無增稠劑、無色素、無調味劑● 低磷配方，完美鈣磷比1:1.1
"[""food_snake1_39_pic2.jpg""]",牠說好吃,冷凍乾燥零食 隨身包系列 (多種口味),"[""凍乾拌料""]","[""鹿兒島丁香魚"";""干貝溫體雞胸"";""貝比玉米筍"";""球芽甘藍"";""低鹽高鈣小起司""]","[""15g""]",[150;150;120;120;150],● 留存食材本身營養● 輕巧、方便攜帶儲存● 低碳水、低脂肪● 使用原肉純天然零添加● 鬆軟質地適合各年齡犬貓
"[""food_snake1_40_pic1.jpg"";""food_snake1_40_pic2.jpg"";""food_snake1_40_pic3.jpg"";""food_snake1_40_pic4.jpg"";""food_snake1_40_pic5.jpg""]",想比比,即期品專區 - 凍乾零食 紐西蘭綠唇貽貝,"[""凍乾拌料"";""即期品專區""]","[""紐西蘭綠唇貽貝30g""]","[""""]",[160],● 使用頂級的「冷凍乾燥」技術，有別於以往的高溫烘烤更健康！● 想比比選用人食等級的食材製作，天然無添加，奴才們也可以食用哦！● 通過專業認證● 全系列原肉凍乾零食通過重金屬檢驗
"[""food_snake1_41_pic1.jpg"";""food_snake1_41_pic2.jpg"";""food_snake1_41_pic3.jpg"";""food_snake1_41_pic4.jpg"";""food_snake1_41_pic5.jpg""]",小犬威利,即期品專區 - 凍乾點心,"[""凍乾拌料"";""即期品專區""]","[""海味珍鮮15g""]","[""""]",[60],● 100%純肉優質蛋白質● 開封即食小零嘴，搭配鮮食美味多變● 挑嘴剋星，補水聖品● 選用人類級當令食材● 適溫熟化，完整殺菌
"[""food_snake1_42_pic1.jpg"";""food_snake1_42_pic2.jpg""]",YORA,蟲蟲潔牙棒 - 小型犬,"[""潔牙骨""]","[""蟲蟲潔牙棒""]","[""""]",[250],牙菌斑和壞口氣都走開！YORA蟲蟲潔牙棒獨特造型的結構以及天然活性成分，幫助減少牙菌斑和牙垢形成的機率，其中富含生物可利用的鈣質用以幫助牙齒強健，蘋果和薄荷用以幫助口氣清新，以及大量健康蟲蟲，是一種超級食物蛋白質。●適合小型/中型犬●特殊纖維幫助牙垢去除●六偏磷酸鈉幫助牙垢控制●低過敏性●4個月以上的狗狗使用
"[""food_snake1_43_pic1.jpg"";""food_snake1_43_pic2.jpg""]",YowUP,犬用低卡無糖寵物優格 - 115g,"[""牛奶飲品""]","[""低卡無糖寵物優格""]","[""115g""]",[90],●幫助好菌生長的益生元！●0%乳糖、0%脂肪、0%糖份、豐富鈣質及益生元●滑順濃厚、高適口性、無人工防腐劑●開封前可室溫保存●西班牙原裝進口
"[""food_snake1_44_pic2.jpg""]",Hyperr 超躍,卜派嫩丁犬用機能零食 (多種口味),"[""肉乾肉條""]","[""腸保健康"";""皮毛養護"";""關節保健""]","[""30g""]",[100],皮毛養護:LP28國際專利高活性菌種，臨床實證有效提升腸道優勢好菌，平衡腸胃道菌叢，達到強化皮膚健康的作用，抵禦環境過敏原。腸保健康:美國益生菌領導品牌專利菌BC30®，全球唯一獲雙GRAS認證。增加腸道好菌，緩解消化不良，提升蛋白質吸收及利用率。提升自然抵抗力，殲滅病原。關節保健:美國專利UC‧II，關鍵抗原力，提升關節保護力。富含抗發炎反應因子，防止骨關節損傷及惡化，幫助軟骨癒合再生。
"[""food_snake1_45_pic1.jpg"";""food_snake1_45_pic2.jpg"";""food_snake1_45_pic3.jpg"";""food_snake1_45_pic4.jpg"";""food_snake1_45_pic5.jpg""]",SOFTREAT,狗狗香軟凍乾 (多種口味),"[""凍乾拌料""]","[""袋鼠""]","[""3g/15入""]",[450],●針對狗狗特性而設計SOFTREAT狗狗香軟凍乾●採用最天然且無添加食材而製成●設計成適合狗狗吞嚥與消化●鬆軟易食、好消化、採獨立小包裝●一次一包、一盒有15包，易於保存與攜帶●非常適合作為玩耍時的獎勵或是訓練用零食●可以打碎拌在食物或水中來增加狗狗食慾、飲水量
"[""food_snake1_46_pic1.jpg"";""food_snake1_46_pic2.jpg"";""food_snake1_46_pic3.jpg""]",牠說好吃,即期品專區 - 冷凍乾燥零食 帆立貝,"[""凍乾拌料"";""即期品專區""]","[""帆立貝30g""]","[""""]",[130],● 留存食材本身營養● 輕巧、方便攜帶儲存● 低碳水、低脂肪● 使用原肉純天然零添加● 鬆軟質地適合各年齡犬貓
